,ICOL,IROW,ILAY,INODE,IBOUND,NTOP,NBOT,X,Y,THICKNESS,OUTCROP,Depth,kx,SS,rch
230681,47,220,7,230682,1,543.6027,479.6335,620750,7115750,63.9692,N,118.37079999999992,0.09017381,1.33e-05,
230682,48,220,7,230683,1,559.2376,487.104,622250,7115750,72.13360000000006,N,128.05730000000005,0.1043617,1.33e-05,
230683,49,220,7,230684,1,568.9785,496.1624,623750,7115750,72.81610000000006,N,114.16694999999993,0.1226876,1.33e-05,
230684,50,220,7,230685,1,567.5275,508.0425,625250,7115750,59.485000000000014,N,103.44609999999989,0.1459348,1.33e-05,
230685,51,220,7,230686,1,549.796,519.2798,626750,7115750,30.516200000000026,Y,15.258100000000013,0.1749495,-0.021985425,
230686,52,220,7,230687,1,548.8986,525.2159,628250,7115750,23.682699999999954,Y,11.84134999999992,0.2105685,-0.021985425,
230687,1,221,7,230688,1,532.9489,528.3483,551750,7114250,4.600599999999986,N,44.13110000000006,6.888732,1.33e-05,
230688,2,221,7,230689,1,525.6697,520.8896,553250,7114250,4.780100000000061,N,70.42755,7.041721,1.33e-05,
230689,3,221,7,230690,1,516.6104,512.3079,554750,7114250,4.302500000000009,N,57.46334999999999,7.182358,1.33e-05,
230690,4,221,7,230691,1,506.2475,502.8339,556250,7114250,3.413599999999974,N,75.5992,7.308311,1.33e-05,
230691,5,221,7,230692,1,499.8774,495.4457,557750,7114250,4.431700000000035,N,28.678049999999985,7.416838,1.33e-05,
230692,6,221,7,230693,1,495.7234,489.3869,559250,7114250,6.336500000000001,N,23.005649999999946,7.504643,1.33e-05,
230693,8,221,7,230694,1,498.2427,496.3175,562250,7114250,1.925200000000018,Y,0.962600000000009,7.601303,-2.1985424e-06,
230694,9,221,7,230695,1,549.1747,505.8956,563750,7114250,43.27910000000003,Y,21.639549999999986,7.599646,-2.1985424e-06,
230695,10,221,7,230696,1,503.3003,498.7117,565250,7114250,4.588599999999985,Y,2.294300000000021,7.556229,-2.1985424e-06,
230696,11,221,7,230697,1,519.5234,485.7577,566750,7114250,33.76570000000004,Y,16.88285000000002,7.463901,-0.021985425,
230697,12,221,7,230698,1,504.953,470.2645,568250,7114250,34.688499999999976,N,42.61725000000001,7.315345,1.33e-05,
230698,13,221,7,230699,1,472.5842,454.9383,569750,7114250,17.645899999999983,N,22.755049999999983,7.103809,1.33e-05,
230699,14,221,7,230700,1,456.5195,441.9364,571250,7114250,14.583100000000002,N,16.42035000000004,6.824107,1.33e-05,
230700,15,221,7,230701,1,451.89,433.7155,572750,7114250,18.174499999999966,N,14.717649999999992,6.473813,1.33e-05,
230701,16,221,7,230702,1,452.0982,431.3869,574250,7114250,20.711299999999994,Y,10.355649999999969,6.054472,-0.021985425,
230702,17,221,7,230703,1,445.4655,433.5864,575750,7114250,11.879099999999994,Y,5.939549999999997,5.572565,-0.021985425,
230703,18,221,7,230704,1,447.4664,436.6189,577250,7114250,10.847500000000025,Y,5.423750000000041,5.039894,-0.021985425,
230704,30,221,7,230705,1,428.7753,424.127,595250,7114250,4.648300000000006,Y,2.3241500000000315,0.3885306,-0.021985425,
230705,31,221,7,230706,1,450.8364,427.9197,596750,7114250,22.91670000000005,Y,11.458349999999996,0.2967723,-0.021985425,
230706,32,221,7,230707,1,448.3445,426.853,598250,7114250,21.491499999999974,N,34.388149999999996,0.2282536,1.33e-05,
230707,33,221,7,230708,1,448.6251,426.5869,599750,7114250,22.03819999999996,N,11.51909999999998,0.1774835,1.33e-05,
230708,34,221,7,230709,1,456.6933,428.924,601250,7114250,27.769300000000044,N,27.626350000000002,0.1400838,1.33e-05,
230709,35,221,7,230710,1,462.4858,431.8003,602750,7114250,30.68549999999999,N,58.256849999999986,0.1126708,1.33e-05,
230710,36,221,7,230711,1,465.438,434.2327,604250,7114250,31.205299999999966,N,96.20094999999998,0.092693269,1.33e-05,
230711,37,221,7,230712,1,467.4918,436.2322,605750,7114250,31.259600000000034,N,118.8089,0.078268816,1.33e-05,
230712,38,221,7,230713,1,469.5636,437.9914,607250,7114250,31.57220000000001,N,114.69189999999992,0.068035888,1.33e-05,
230713,39,221,7,230714,1,471.7418,439.6196,608750,7114250,32.12220000000002,N,86.91989999999998,0.061032602,1.33e-05,
230714,40,221,7,230715,1,474.1848,441.1902,610250,7114250,32.99459999999999,N,75.38070000000005,0.056602526,1.33e-05,
230715,41,221,7,230716,1,477.0754,442.7824,611750,7114250,34.293000000000006,N,118.6463,0.054325492,1.33e-05,
230716,42,221,7,230717,1,480.7616,444.5826,613250,7114250,36.178999999999974,N,96.02170000000001,0.053969797,1.33e-05,
230717,43,221,7,230718,1,485.6844,446.8814,614750,7114250,38.803,N,141.0369,0.055461986,1.33e-05,
230718,44,221,7,230719,1,492.3423,450.0434,616250,7114250,42.2989,N,95.94794999999999,0.058870809,1.33e-05,
230719,45,221,7,230720,1,501.1732,454.2855,617750,7114250,46.887699999999995,N,67.23544999999996,0.06440221,1.33e-05,
230720,46,221,7,230721,1,512.6307,459.6054,619250,7114250,53.02530000000007,N,46.66474999999991,0.072402323,1.33e-05,
230721,47,221,7,230722,1,526.8398,465.6982,620750,7114250,61.14159999999998,N,59.12469999999996,0.083364897,1.33e-05,
230722,48,221,7,230723,1,540.4662,472.1486,622250,7114250,68.31759999999997,N,91.51709999999997,0.097938488,1.33e-05,
230723,49,221,7,230724,1,548.2292,478.686,623750,7114250,69.54320000000001,N,83.1305000000001,0.1169269,1.33e-05,
230724,50,221,7,230725,1,532.1853,486.2817,625250,7114250,45.90359999999998,N,23.45179999999999,0.1412743,1.33e-05,
230725,51,221,7,230726,1,542.2055,493.3951,626750,7114250,48.810400000000016,N,29.71690000000001,0.1720236,1.33e-05,
