INODE,X,Y,ILAY,head_predev_m
231158,620750,7102250,7,409.616
231159,622250,7102250,7,403.0068
231160,623750,7102250,7,396.6167
231161,625250,7102250,7,390.9401
231162,626750,7102250,7,385.975
231163,628250,7102250,7,381.7738
231164,629750,7102250,7,378.2175
231165,631250,7102250,7,375.2361
231166,632750,7102250,7,372.7646
231167,634250,7102250,7,370.588
231168,635750,7102250,7,368.2929
231169,637250,7102250,7,365.9237
231170,638750,7102250,7,363.609
231171,640250,7102250,7,361.9853
231172,641750,7102250,7,361.2206
231173,649250,7102250,7,365.8363
231174,652250,7102250,7,370.149
231175,653750,7102250,7,371.9509
231176,655250,7102250,7,374.0667
231177,656750,7102250,7,375.7433
231178,658250,7102250,7,377.1063
231179,659750,7102250,7,381.386
231180,685250,7102250,7,444.3829
231181,745250,7102250,7,351.8041
231182,746750,7102250,7,354.1432
231183,749750,7102250,7,340.1786
231184,751250,7102250,7,324.4305
231185,752750,7102250,7,307.3241
231186,764750,7102250,7,342.689
231187,766250,7102250,7,346.4599
231188,767750,7102250,7,340.9432
231189,769250,7102250,7,336.2235
231190,770750,7102250,7,329.4548
231191,772250,7102250,7,327.8054
231192,551750,7100750,7,405.2415
231193,553250,7100750,7,405.1724
231194,554750,7100750,7,405.0115
231195,556250,7100750,7,404.7569
231196,557750,7100750,7,404.4049
231197,559250,7100750,7,403.9535
231198,560750,7100750,7,403.399
231199,562250,7100750,7,402.7378
231200,563750,7100750,7,401.9717
231201,565250,7100750,7,401.1084
231202,566750,7100750,7,400.1675
231203,568250,7100750,7,399.1976
231204,569750,7100750,7,398.2455
231205,571250,7100750,7,397.2844
231206,572750,7100750,7,396.2845
231207,574250,7100750,7,395.2108
231208,575750,7100750,7,394.0426
231209,577250,7100750,7,392.7575
231210,578750,7100750,7,391.3016
231211,580250,7100750,7,389.6052
231212,581750,7100750,7,387.5986
231213,583250,7100750,7,385.1979
231214,584750,7100750,7,382.2775
231215,586250,7100750,7,378.5381
231216,587750,7100750,7,373.492
231217,589250,7100750,7,366.7526
231218,590750,7100750,7,362.5776
231219,592250,7100750,7,362.1706
231220,593750,7100750,7,365.7959
231221,595250,7100750,7,369.9739
231222,596750,7100750,7,374.0966
231223,598250,7100750,7,378.4075
231224,599750,7100750,7,382.7174
231225,601250,7100750,7,387.0406
231226,602750,7100750,7,391.4221
231227,604250,7100750,7,395.8382
231228,605750,7100750,7,400.2179
231229,607250,7100750,7,404.3981
231230,608750,7100750,7,408.1896
231231,610250,7100750,7,411.5505
231232,611750,7100750,7,414.2338
231233,613250,7100750,7,415.8578
231234,614750,7100750,7,415.9864
