INODE,X,Y,RCH_SS_m_per_day
782134,592250,7195250,8.2521556e-06
782135,593750,7195250,8.3205541e-06
782136,595250,7195250,8.3712057e-06
782137,596750,7195250,8.4099311e-06
782138,598250,7195250,8.3178957e-06
782139,599750,7195250,8.2372835e-06
782140,601250,7195250,8.2132146e-06
782141,602750,7195250,8.2657352e-06
782142,604250,7195250,8.3737923e-06
782143,605750,7195250,8.3895984e-06
782144,607250,7195250,8.4003032e-06
782145,610250,7195250,8.4148887e-06
782146,611750,7195250,8.3650266e-06
782147,613250,7195250,8.8079614e-06
782148,614750,7195250,9.2519731e-06
782149,616250,7195250,9.4063716e-06
782150,617750,7195250,9.5365576e-06
782151,619250,7195250,9.6418125e-06
782152,620750,7195250,9.6291678e-06
782153,622250,7195250,9.6337662e-06
782154,623750,7195250,9.8384571e-06
782155,625250,7195250,9.9082199e-06
782156,626750,7195250,9.8369483e-06
782157,628250,7195250,8.0471773e-06
782158,634250,7195250,1.0525023e-05
782159,731750,7195250,1.0847111e-05
782160,733250,7195250,1.0619717e-05
782161,737750,7195250,9.6158756e-06
782162,739250,7195250,9.5245587e-06
782163,740750,7195250,9.4863362e-06
782164,742250,7195250,9.5742771e-06
782165,743750,7195250,9.5790901e-06
782166,745250,7195250,9.5331088e-06
782167,746750,7195250,9.5170153e-06
782168,748250,7195250,9.4438037e-06
782169,749750,7195250,9.2450036e-06
782170,751250,7195250,9.2127448e-06
782171,752750,7195250,9.2692881e-06
782172,754250,7195250,8.8785864e-06
782173,755750,7195250,8.5243828e-06
782174,757250,7195250,8.4253061e-06
782175,758750,7195250,6.9930297e-06
782179,764750,7195250,6.6152534e-06
782180,766250,7195250,6.6017033e-06
782181,767750,7195250,4.7220597e-06
782183,770750,7195250,4.723468e-06
782185,773750,7195250,7.6074766e-06
782186,775250,7195250,7.3427218e-06
782187,778250,7195250,7.3302922e-06
782188,779750,7195250,7.4178733e-06
782189,782750,7195250,7.4834693e-06
842283,788750,7195250,8.2114184e-06
782190,551750,7193750,8.3975729e-06
782191,553250,7193750,8.3797559e-06
782192,556250,7193750,8.2763681e-06
782193,557750,7193750,8.3389468e-06
782194,559250,7193750,8.427246e-06
782195,560750,7193750,8.4012372e-06
782196,562250,7193750,8.2284469e-06
782197,589250,7193750,8.1033613e-06
782198,590750,7193750,7.2171338e-06
782199,593750,7193750,7.860448e-06
782200,595250,7193750,8.2528022e-06
782201,596750,7193750,8.2945453e-06
782202,598250,7193750,8.1607668e-06
782203,599750,7193750,8.0645641e-06
782204,601250,7193750,8.0992659e-06
782205,602750,7193750,8.1497747e-06
782206,604250,7193750,8.2129991e-06
782207,605750,7193750,8.2509341e-06
782208,607250,7193750,8.2813976e-06
782209,610250,7193750,8.2575443e-06
782210,611750,7193750,8.1763574e-06
782211,613250,7193750,8.5921338e-06
782212,614750,7193750,8.9995756e-06
782213,616250,7193750,9.1035381e-06
782214,617750,7193750,9.282795e-06
782215,619250,7193750,9.527289e-06
782216,620750,7193750,9.533037e-06
782217,622250,7193750,9.5268579e-06
782218,623750,7193750,9.670408e-06
782219,625250,7193750,9.7075526e-06
782220,626750,7193750,9.6315389e-06
782221,628250,7193750,7.3009787e-06
782222,635750,7193750,1.0935267e-05
782223,637250,7193750,1.1004958e-05
782224,739250,7193750,9.4966827e-06
782225,740750,7193750,9.4568795e-06
782226,742250,7193750,9.5595487e-06
782227,743750,7193750,9.5777259e-06
782228,745250,7193750,9.5481246e-06
782229,746750,7193750,9.5596924e-06
782230,748250,7193750,9.0707044e-06
782231,749750,7193750,7.3482538e-06
782232,751250,7193750,6.7300139e-06
782233,752750,7193750,6.8079676e-06
782236,757250,7193750,6.2995741e-06
782240,763250,7193750,4.3334776e-06
782246,772250,7193750,5.4913285e-06
782248,775250,7193750,7.1386844e-06
782249,776750,7193750,7.2565058e-06
842344,778250,7193750,7.2730304e-06
842345,784250,7193750,7.5639373e-06
842346,788750,7193750,8.0154932e-06
842347,793250,7193750,8.1334656e-06
842348,794750,7193750,8.6493237e-06
782250,551750,7192250,8.403249e-06
782251,553250,7192250,8.2575443e-06
782252,556250,7192250,8.0793652e-06
782253,557750,7192250,8.0815198e-06
782254,559250,7192250,8.0969676e-06
782255,560750,7192250,8.0464588e-06
782256,590750,7192250,5.3267927e-06
782257,595250,7192250,8.0116852e-06
782258,596750,7192250,8.0316586e-06
782259,598250,7192250,7.8544135e-06
782260,599750,7192250,7.7493733e-06
782261,601250,7192250,7.861885e-06
782262,602750,7192250,7.89163e-06
782263,604250,7192250,7.8669864e-06
782264,605750,7192250,7.9001074e-06
782265,607250,7192250,7.9299243e-06
782266,608750,7192250,7.9338752e-06
782267,610250,7192250,7.9008259e-06
782268,611750,7192250,7.8389658e-06
782269,613250,7192250,8.1492717e-06
782270,614750,7192250,8.4485846e-06
782271,616250,7192250,8.5274723e-06
782272,617750,7192250,8.7912931e-06
782273,619250,7192250,9.2130322e-06
782274,620750,7192250,9.2638275e-06
